"version","ECL","DC","EC","NM","AL","8B"
"1","L","19","7","41","25","17"
"1","M","16","10","34","20","14"
"1","Q","13","13","27","16","11"
"1","H","9","17","17","10","7"
"2","L","34","10","77","47","32"
"2","M","28","16","63","38","26"
"2","Q","22","22","48","29","20"
"2","H","16","28","34","20","14"
"3","L","55","15","127","77","53"
"3","M","44","26","101","61","42"
"3","Q","34","36","77","47","32"
"3","H","26","44","58","35","24"
"4","L","80","20","187","114","78"
"4","M","64","36","149","90","62"
"4","Q","48","52","111","67","46"
"4","H","36","64","82","50","34"
"5","L","108","26","255","154","106"
"5","M","86","48","202","122","84"
"5","Q","62","72","144","87","60"
"5","H","46","88","106","64","44"
"6","L","136","36","322","195","134"
"6","M","108","64","255","154","106"
"6","Q","76","96","175","108","74"
"6","H","60","112","139","84","58"
"7","L","156","40","370","224","154"
"7","M","124","72","293","178","122"
"7","Q","88","108","207","125","86"
"7","H","66","130","154","93","64"
"8","L","194","48","461","279","192"
"8","M","154","88","365","221","152"
"8","Q","110","132","259","157","108"
"8","H","86","156","202","122","84"
"9","L","232","60","552","335","230"
"9","M","182","110","432","262","180"
"9","Q","132","160","312","189","130"
"9","H","100","192","235","143","98"
